Reviewer,Date,Review
Mochammad Hadyan,,"The best nasi lemak in town, no one can't beat the sambal bilis. So good.The place is cozy and spacious.One more thing, you can have free water from the dispenser. So unlimited water!You must visit this place!"
Tech Jack,,This was my first try of this establishment. I had the nasi lemak with fried egg and one bergedil added on. The rice was well cooked and the coconut milk was quite generously integrated. However the amount of rice which they dished out onto the plate was not a lot. So those who are very hungry they should ask for extra rice. I have tried nasi lemak from many places and I would  rate this one from Wanjo very highly as among the top 5 in and around KL.
Siti Nur Hazwani Md Sabudin,,"Servis laju. Makan sedap. Sotong lembut. Nak makan nasi lemak sedap tanpa ragu, boleh datang sini."
Rendang Lover,,"I visited for the first time in about 4 years, but the store was beautifully renovated. I ate Ayam Rendang, but it's a Rendang, so it's obvious that it's delicious, but it wasn't particularly delicious. I think it used to be a little tastier. Also, the Sambal here is a little too sweet for me."
Mohd Azman Mohd Yussof,,Enjoy the food
Laily Rachmah,,Nasi lemak nya sedap
Wahyu Kresna,,"Best place for Nasi Lemak. Fast service, clean, spacious place, good taste, and cheap. A must try."
Akhilesh Indupalli,,My favourite place for a tummy full meal for a cheap price.
Suzanne Sujatha Fam,,Came here on a weekday for their Nasi Lemak. It's a must try when you are in Kampung Baru. Very clean and well organised. They also provided dining in air-cond but with a small fee.
m haris,,Nasi lemak with various side dishes
basyir ahmad,,Langsung tk sedap.. nasi lauk semua sejuk dan keras..
Ikmal x Lageus (Lageus),,Legendary Nasi Lemak!
Maszarina Awang,,The sambal is too sweet to my taste
Ahmed Syam Che Kub,,"Lots of side dishes selection, swift service and reasonable price"
"Moch Faisal Karim, PhD",,This is our first time eating here. The nasi lemak is awesome. The sambal is tasty. The ayam bakar and ayam gulai are good. But the ayam gulai is a bit sweet. Paru paru is a bit hard to chew. The price is relatively cheap. Will be back again
Adrian Kamajaya,,"The food was pretty good for my (Indonesian) stomach, I was a little confused right after eating, I was charged 1 ringgit. It turns out that eating in a room with AC costs 1 Ringgit. Hahahahahahaha"
Faizal Sahari,,Was really curious from the YouTube reviews.Parking was a breeze as there’s a RM5 parking lots.Tasting is believing. The sambal took me back to my primary school days. Sweet and spicy just perfect. The ‘bergedil’ was handmade and delicious. If only the rice can be more fragrant and lemak it would have been a perfect score.
Emily Chng,,"Well, this place is famous for sure. You'll see locals and tourists alike. They have a variety of dishes to accompany the basic nasi lemak. While I enjoyed the fried chicken, bergedil and tempe , I didn't really enjoy the sambal. It's too sweet for my liking, but that's just my opinion from someone from Northern Malaysia who prefers the sambal to be salty."
megapapa,,"For Indonesian travelers, they will definitely like it"
Meera Sha,,"Nice and decent clean place .As for the price is easy on your wallet.Varieties of dishes to choose from.Nasi lemak sambal is nice , but personally I prefer it to be abit more spicy:)"
Jayanti Hunter,,So yummy and cheap!
George Khoo,,The rice was really fragrant and the chilli nice and sweet. Otherwise the fried chicken was tough and the coffee really quite bad. But service staff was friendly. Food was quite ordinary. It's really in an ulu spot with many other local eateries but no problem getting there by cab
kays,,fourteen dollars for nasi lemak with chicken thigh + sotong. was quite yummy but no peanuts served and the sambal is on the sweeter side. free water and cups! not too difficult to get to from the train. fairly clean but could be better. great service and overall a good experience
Abdul Aziz,,"Rasa sambal sentiasa berubah, x tetep,harga kayangan."
Zainudin AB,,Nikmat makanan yang sungguh tak terkata.
Dhalan Ismail,,Best nasi lemak
Haziq Radzi,,"I have come to this place a few times already. Before and after renovation. Tbh, it was an okay restaurant. Not that great, but not that bad either. The taste of the Nasi Lemak with Ayam Goreng and Bergedil is quite delicious, but I have tasted better Nasi Lemak at other restaurants. The sambal is not spicy but still acceptable. The price is quite expensive for a quite average Nasi Lemak. Overall, it's an okay experience eating at this restaurant."
Lois CH,,"come here bcoz of >6000 google reviews, taste so-so only, egg not fresh can see from the shape, parking cheapest RM3 same road, 8am already many people. Ayam rendamg too salty, RM10 nssi lemak + ayam rendang ok, just taste not as good as expected."
Jo Adam,,"Nasi lemak is the thread..and true, u won't find plain rice, noodle,fried rice or whatever else, other than nasi lemak. More than 20 'lauk pauk'  to go with the nasi lemak, arranged nearly in center of the spacious shop. Yes the place was very spacious..tables were put comfortably apart one to another..The paint was of bright color which brightened whole shop making your taking meal there very relaxing g apart the wide personal space everyone sure had it. Food on the menu was definitely scrumptious and super clean to my eyes. Drinks were sold from dispensers at counter and fresh fruit juices were at front. Prices were as usual as ordinary standard mark ups."
Jason Toh,11 months ago,"Place is nice clean and bright.System is fast and orderly, free plain water with the water machines. â€¦"
Peter Teh,a year ago,"Environment is very clean, cooling and organized. 8.5/10.Food is generally ok but not great and not worth the hype or if there is a long queue. The fried chicken was tasty but dry, the sotong was mushy "
Faizal Sahari,10 months ago,Was really curious from the YouTube reviews. Parking was a breeze as there â€™s a RM5 parking lots.Tasting is believing. The sambal took me back to my primary school days. Sweet â€¦
Rox D Xebec,a year ago,Very clean. Cozy and air conditioned. The taste? Not something out of this world lah but the nasi lemak is good. 
Mochammad Hadyan,10 months ago,"The best nasi lemak in town, no one can't beat the sambal bilis. So good. The place is cozy and spacious. â€¦"
Revathi Anatharaj,3 months ago,"Tempat tak ada parking. Parking yang dapat RM 5 sekali masuk.Nasi lemak biasa je untuk kedai tepi jalan. Nasi lemak yang blh dapt RM 7. Saya order nasi lemak, telur rebus dengan ayam masak merah."
slumber boyz,6 months ago,Environment : good .spacious .divided two place air cond area and non aircond area.cleanliness  : good
Lim Kent,2 months ago,They Nasi lemak was nice .but rendang beef was terrible.. tough and not properly cook .I saw other customers *uncle* just leave the table with untouched beef rendang â€¦
Mohd Rizal Ibrahim,a month ago,"Very tentative and courteous staff, well done all wanjo crew!very clean and cozy atmosphere. â€¦"
ghrs resources,a month ago,Makanan sedap & menarik.Harga standard. Tempat bersih. Bilik air bersih. Pekerja bersih & cekap. Sesuai utk famili. Parking lot swasta bnyk. rm5 utk 3 jam. Ada surau.
Tania Lau,a month ago,Chicken was well marinated but a bit dry. Beef rendang was very little. Begadil is tasty as mentioned in other reviews.Overall I still prefer Village Park as the chicken is tastier. â€¦
Ng Kee Hong,11 months ago,"Nice, clean and spacious place. AC room available at additional RM1 per person.Nasi Lemak was good however the sambal was overly sweet for me."
hadi kurniawan,4 weeks ago,Ooh i love it. The taste is good. And they have free flow water too.But the juice stuff didnt really our fave things in here. The rest is awesome ðŸ’™ â€¦
rie m,a year ago,This is a classy nasi lemak restaurant! A lot of variant of lauk pauk.The staff is so hardworking and fast! Kudos to them.A lot of chairs and table so no issues takda tempat duduk after a long que for â€¦
Meera Sha,10 months ago,Nice and decent clean place .As for the price is easy on your wallet.Varieties of dishes to choose from â€¦
Ong jit tuck,a year ago,"One of the better Nasi Lemak in town.The place is large and seating is comfortable.Sambal is not too spicy, with a Smokey sweetness."
WeiLip Teo,3 months ago,"So good! Sotong was damn good, ayam rempah was spot on.The only reason it didn't get 5 stars was because of the sambal. Too sweet for my liking. If it was less sweet and more spicy, it would've been the best nasi lemak in town"
Kapil Sinha,7 months ago,"Yummy food. Itâ€™s all pre-made and is an assembly line of people putting stuff on your plate - not unlike Chipotle.But again, yummy. And cheap."
Azmie Azize,a year ago,So expensive for standard nasi lemak. It cost RM4 and the portion so small. Sambal taste like burnt/smoke and not taste like originally nasi lemak sambal that have spicy kicks. Too much instant chili paste in the sambal ingredient.Not recommended
W M,a year ago,okla..not bad..parking kat celah rumah rm5.panas? makan dalam bilik ekon pon boleh tp charge rm1 per head. sambal sotong failed..sotong dah bau....
Waheeda Lubis,4 months ago,Nasi lemak sedap tapi Nasi sedap tapi aroma nasi lemak kurang.Sambal tak rasa macam sambal nasi lemak sebab manis sangat tidak sesuai untuk â€¦
Khai Amrey,5 months ago,Sedikit ulasan & feedback untuk kebaikkan:- Makanan: 3/10 (limited lauk serta biasa jer rasa. perlu perbykkan lauk & jenis â€¦
Matlan Crosstrek,5 months ago,"The sambal is much to be desired. Too sweet and oil wasnt mixed well (tak pecah minyak).The rendang chicken is okay but nothing to shout about. Overall, its nasi lemak â€¦"
Rehan Qasim,6 months ago,Really appetizing and great taste.Cleaning level is really appreciable ðŸ‘ â€¦
Bobby Ratnam,10 months ago,Nasi lemak is good.Sambal is abit on the sweeter side. Not too spicy.Price is slightly higher. â€¦
Hymie Latif,9 months ago,"Our first time here, visiting from New Zealand.Been sampling food especially Nasi Lemak for past 2 weeks. This is by far the nicest and value for money. One whole egg, generous nasi lemak, cucumber (which is â€¦"
iqbal suffian,a year ago,Price : expensive ( nasi lemak + boiled egg = RM5)(portion a bit small.Taste : ok but nothing special.Enviroment : clean.Service : fast
Chip Amir,a year ago,Better than most Nasik Lemak in KL.My personal favourites are the sambal kerang and the fried chicken.
Jocelyn Carter,7 months ago,"Great place for Nasi Lemak.We got there around 6.30pm - it was busy, not full yet. By the time we left it was nearly full. It gets very busy later in the evening. â€¦"
Vincent Kor,a week ago,"Nasi lemak 5 star.Ate the rice hot without sambal ,taste the originality"
ridzuan mohd,4 months ago,Sedap la.Murah plak tu.Parking pon mudah.Pilihan kedai pon banyak.
Harris Ismail,11 months ago,Not so bad.Sedap nasinya.Servis pun ok.Kaedah nak order teratur.
Sarmeen Rajbalan,2 years ago,"Probably the best Nasi Lemak at Kampung Baru! Love the clean ambience and friendly crews, reasonable price for super good Nasi Lemak in the heart of KL.Try their Ayam Goreng ( Fried Chicken), Sotong Sambal and Bergedil. ðŸ˜ â€¦"
Afiq Izzat,a year ago,Nasi lemak okay sedap..Kedai bersih..Tapi harga agak keras dan kuantiti nasi agak ciput.. tak puas makan..
Adrien Creassor,a year ago,Nak kata sedap gila tu tk la..Ok je nk makan... Nk rasa vibes kg baru...Overall semua ok.. â€¦
Mura Abra,4 months ago,Potion nasi kurang (semakin).Sambal sedikt masin.Ayam masak merah kering (not juicy).Harga dah naik
noriza ali,a year ago,Nasi lemak sedap tapi portion nasi dine in sikit compared tapau. This round makan sambal kerang rasa hangit.Restaran luas.
izzah hatta,4 years ago,Biasa je nasi lemak dia...sambal manis sangat... Tapi diorg tak kedekut ikan bilis..Order nasi lemak sambal sotong dengan nasi lemak sambal kerang... 
Clamoon Arilla,5 months ago,Makanan sedap....service so...so....ok lah.Last sye dtg Sahur ahad 10hb.Abg kt depan pintu masok greeting good...tq abg even keje penat abg to treat baik hilang penat....good job to abg
Nate,4 months ago,Decent nasi lemak but the rice is not that fragrant.Flavour for masak merah is good.
Azim Rizzo,4 years ago,Sedap. Queue sentiasa panjang.Make sure queue di tempat yang betul. Bungkus dan dine in ada dua queue berbeza.
Apek Goh,3 months ago,Nasi sikit x macam dulu.Staf pon acah2 tanak layan.Ayam pon xde pilihan katenye x goreng lagi
anis syira,9 months ago,Nasi lemak sejuk.Sambal manis dan cair. Nasi lemak sepatutnya manis bawang bukan manis gula. Please dont spoil our nasi lemak taste. Outside will think we like to eat sambal â€¦
Bnyne B9,2 years ago,"Sedapp and reasonable price.Even though the queue is long, it's fast until it's our turn...if you want to pack, there's a lane ready for those who want to pack....it's really satisfying to eat here....the place is also clean â˜ºï¸"
Iqbal Abd Ghaffar,2 years ago,Long queues but fast moving.Be prepared to pay slightly premium prices on their food relative to the prices â€¦
Mohd Uzir Kamaludin,7 months ago,Food is good! (Favouritism of course ;p) My favorite is with paru!Service is fast (unless long que) â€¦
Salina Ismail,2 months ago,"Sambal nasi lemak pedas.Rasa biasa² je...kurang sedap"""
Hishamuddin Halim,3 months ago,Good clean place and nice food.Potion if you are hungry better ask for extra rice.
Izhar â€œApaqueâ€,2 years ago,Meet expectation.Mmg sedap nasi lemak.Lauk sotong lembut gile & portion besar â€¦
Baharuddin Nainar Mohamed Saleem,6 months ago,Can get tasteful Nasi Lemak here.The sambal kerang n Ayam goreng is the recommended because the taste was very nice. The place very comfortable.
Jamal Wan,2 years ago,Banyak lauk.portion banyak.rasa ok â€¦
Nura,a year ago,"I love nasi lemak, nasi lemak wanjo okay sedap tapi bukanlah terlampau sedap.Kedai meriah, cerah, bersih, banyak tempat duduk, ada line beratur untuk makan â€¦"
Henry Lai,4 months ago,"Food is great...However,  kerja attitude very bad...no greeting and not even smile.Not asking what do I prefer on the dishes... â€¦"
Adib Faisal Yaacob,9 months ago,Nasi lemak sedap. Pelbagai lauk pauk ada tersedia.Sambal sedap. Pedas. Tak terlalu manis.
Izzat Mokhtar,7 months ago,Harga okay.Makanan sedap.Environment cun
874 Sam,8 months ago,This shop is so famous yet the price is just on average.My nasi lemak + rendang daging + paru daging is just RM13.There are so many fancy restaurants that can simply cost around RM20+ with this â€¦
Muhammad Hanifi Che Ibrahim,5 years ago,"Nasi lemak yang best. Dua kali dah beli dari sini, tapi dua-dua tapau.Lain kali nak cuba lauk lain pula. â€¦"
shidi suri,7 months ago,always viral and crowded people want to try it... no big deal to us...the best nasi lemak in the town...no matter have to long que and wait.... â€¦
Azfar Zolkiflie,9 months ago,Pros: Fast serving / queue and acceptable taste of Nasi Lemak (Sambal is my favourite) â€¦
jihan jemi,9 months ago,"Service laju,lauk2 byk, tmpt luas sesuai utk dtg reramai,tapi nasi lemak dia kureng santan,xwangi,daun pisang pn xde,smbal nasik lemaknya manis sgt..harga blh tahan la.#nasik lemak makcik2 tepi jln rsanya lgi syahdu rsa lemaknya.."
Ash Burn,9 months ago,Personal experience having a meal here made me write this. The food is just average. The food is good but there are better nasi lemak out there.The place is clean compared to other shops in kg baru. The staffs are fast doing â€¦
Muhammad Firdaus,5 months ago,"nasi lemak tak boleh makan.ayam goreng ok ok .sambal tu manis.sambal tu yang ada pedas kenapa manis â€¦"""
Fitri Sidqi,2 months ago,Makan ok sambal manis pedas elok ja.Parking ja susah sikit
Mastura Abdul Kadir,2 years ago,Nasi lemak is tasty with different kinds of savoury dish. Prices are quite affordable.Many tables to sit a crowd!
Freya Grayden,a year ago,I went here based on reviews and recommendations and was sorely disappointed.I ordered the sotong sambal and the Ayam rendang. Everything except the nasi was cold. Not even lukewarm. Cold. â€¦
Prashant Suryawanshi,a month ago,It's nice place.
aRies aCacia,2 weeks ago,Nice Nasi Lemak
Rain 79,11 months ago,Alhamdulillah...tempat makan yg selesa.Tengok menu ada nasi lemak je...tapi lauk jenuh nak pilih.
Ali Abu,a year ago,"Suasana agak bising ,kedai cantik ,putih nampak bersih.Makanan saya rasa macam tak kena dengan selera saya.pd saya biasa2 jer"
goldenboots,a year ago,"Once a while place for me. Or when you visitted malaysia and want to bring your family or friend to enjoy ""proper"" nasi lemak place.Price is not expensive, consider ok. â€¦"
Fuad Yusof (ApexJayBee),a year ago,Rasa nya biasa je.Nak masuk sini pon dah ngadap jem dan parking pon susah.
Afendi Ismail,2 years ago,Nice place 
Lau Nua Beng,a year ago,Nasi lemak not fragrant for my taste but crowded.Fairly price for restaurant type.Located at city center. â€¦
Violet Alhambra,a year ago,"For me, it was average. Sambal,  tak pedas.Paru tak crispy. â€¦"
Kay Qayzar,a year ago,"Went there for sahur last night at 3 am. Didnt wait long in the Q, staff very fast .. food is good also."
Amira Yusof,a year ago,First time went here. Rice portion not so many.
Arafe Bakar,a year ago,Sini nasi lemak antara yg femes.Bagi aku sedap sedap sebab nasi dia berderai â€¦
Saffwan Shukri,a year ago,"Harga kayangan. Datang kali ke2 pun sbb nak buktikan pada wife harga dia mahal. Hahaha. Nasi lemak biasa2 je. Xde sedap mana pun.. serius, mmg x sedap.Kedai bersih lah.."
Momster,a year ago,"Its hard to get parking if u go during peakhours,weekend or school holiday.there is a paid parking lot in front of the restaurant.The sambal is not that spicy so kids can enjoy. Price wise,quit high.And they charge Rm1/pax if u choose to sit in aircond room."
mohd faizal zakaria,3 years ago,Nasi lemak biasa shj.Rendang daging terbaik dan senang nak makan sebab tak liatðŸ˜‚ â€¦
syamarani R,a year ago,"My Mom favorite  nasi lemak, when she's around KL. Clean, neat, many varieties, efficient.But the sambal are not spicy for my bud tastes."
putehbatu,a year ago,Nasik lemak ok.Nasi lembut dan aroma sedap 7/10.Sambal rase manis then ade pedas skit 4/10 â€¦
Axreus,2 months ago,Why the heck ur sambals are sweet ?????? Can't be ask man...
Mezura Mohammed,a year ago,Sambal taste a little bit sweet.Price reasonable.Environment :  Restaurant expand to a bigger space and bright lighting after â€¦
Nor Fazlin,a year ago,First tempat susah parking..kitorang parking kt saloma bridge tu so jauh lah bejalan tapi sbb nk rasa.. jalan je la. â€¦
Ieva VasiliauskaitÄ—,7 hours ago,Went with zero expectations but this place turned out to be really good to try nasi lemak!
Haninah Hj Abd Rahman,19 hours ago,The chili sauce is too sweet. pls reduce sugar
Sergio Sangros,a day ago,Good quality price
Nazif Ahmad,a day ago,"Sedap, and tempat makan yang selesa. ðŸ‘ðŸ½"
Suriani Abdul Gani,a day ago,Service was fast
Daniel Fabregas,a day ago,"Service is fast. Food is great, especially the sotong. Just point what you want on your plate and theyâ€™ll get it for you."
Zulaikha Jaafar,a day ago,"Overpriced. Nasi sikit mcm separuh, bila minta extra. Muka masam je makcik kt dalam tu. Padahal bukan x bayar nasi extra tu. Nasi lemak okay. Sambal sedap tp manis. Lama2 jd muak. I can say, overrated nasi lemak in the town."
Aniq Imran,3 days ago,"The portion of the rice is very little as if the portion is for the kids, disappointing"
Sazalan Abdul Rahman,4 days ago,Harga agak ermmm...portion hidangan agak skit. Charge dikenakan utk duduk didalam kawasan berhawa dingin.
Kay,5 days ago,sambal manis sangat
Nurul Alqurany,5 days ago,Spectacular! The place was clean and the service was very quick
Loca Peeps,5 days ago,This is the most unbelievable malaysian restaurant ever. Even tho i go back i still can remember how it tasted. I would come back to this place when i visit KL. Teh tarik was absoluyðŸ’¯ðŸ’¯ðŸ’¯
ShakiLa Ezzany,6 days ago,"Nasi lemak rasa macam nasi putih,maybe kurang santan.Sambal manis tak rasa sambal..Ayam goreng tak juicy..kering je.Kalau ambil ayam berkuah maybe ok kot."
Hafiz Naser,a week ago,All taste good.
Sophiaa Rashid,a week ago,Layanan yang kurang mesra daripada staff front of house . Makanan sedap tapi nasi terlampau sikit . Nak menjual jangan kedekut rezeki kak . Sedekahkan senyuman :)
Kenix Peh,a week ago,One of my go-to nasi lemak restaurant in KL. Variety of dishes to choose from. Have to pay extra to be seated in the air conditioned room.
Hail Kamari 116,a week ago,"Yang kebulur malam area KL kampung baru wajib lah datang, senang nak makan banyak menu san lauk, parking tu pandai2 lah carik slot mana yg ada, jalan masuk bisanya jem waktu puncak. Overall rasa ok lah"
Saiful Hasnan Salim,a week ago,Nice place to enjoy Nasi Lemak with varieties of dish.
Nor Azam Kamisan,a week ago,Good nasi lemak and great sambal.But the fried chicken too salty cannot match the nasi lemak.
Nor Azam Kamisan,a week ago,Good nasi lemak and great sambal.But the fried chicken too salty cannot match the nasi lemak.
yvonne koh,a week ago,"Fragrant rice but overall disappointed with the hype, sambal is super sweet..."
Rahmad Iqmar,a week ago,Bagi aku sambal biasa saja. Aku pun taktau macam mna orang kata sedap sambal macam ni. Masuk mulut pun dah rasa bosan dah makan.
David Sae,a week ago,Great place to eat traditional Malay dish: Nasi Lemak.potato dumplings is very tasty.
carbonex21 sp,a week ago,"friendly customer service, fast service even though super long queue every time especially during breakfast, price bit high side, overall food delicious but the sambal and ayam masak merah kind of sweet for me,  rendang daging a must, parking hard to get during peak time but still worth the wait"
Wahida Adleen,a week ago,Love the range of sambal dishes here. This is one of my most fav nasi lemak restaurant.
Sazuke_wan90 Sazuke_wan90,2 weeks ago,Delicious but a bit pricey
Ah Ahmad,2 weeks ago,"Ok restaurant, no meat options. Most dishes are chickens."
Mawar Hassan,2 weeks ago,"Most popular Nasi Lemak at KL , good ambience , good varities addition to nasi lemak however taste just average."
Denver Torres,2 weeks ago,Can get crowded but they have ample staff so things are cleaned quick
Natsyaaa Ng,2 weeks ago,"The portion too less  , but the fried chicken taste good ."
Andy Nash,2 weeks ago,"Eating where the locals eat. Excellent food, a little spicy (or very spicy if you are my wife) all for Â£3.50 a plate."
Anuar Mustapa,2 weeks ago,"Sambal taste too sweet and less spicy, below my taste bud. Little bit pricy but it's OK for overall."
azlan ab,2 weeks ago,Good place to enjoy nasi lemak with reasonable price
gabrael al kudus,2 weeks ago,The best Nasi Lemak in KL
Cho Zila,2 weeks ago,Secara keseluruhannya saya suka nasi lemak Wanjo..
alyaa hanis,2 weeks ago,"Makanan sedap, meja makan pun banyak, but parking susah, kampung Bharu ni mana ada parking khas, so kena pusing cari parking"
muhamad nizam abdul,2 weeks ago,Fast serviceNice food
Nicky romero (Umf),2 weeks ago,"Paduuuuu woooo, service pon cepat, kedai pon cantikkk..... good job guysâ¤ï¸"
Hissham Omar,2 weeks ago,Crowded area. Very popular food outlet at Kg Baru. Highly recommended. Has been regular customer since end of 80's until now. Taste of dishes still the same since last 30 years.
Ismail Rizuan,2 weeks ago,"Already mentioned ""nasi lemak"" and not mention nasi lemak hot and fried chicken""panas""/ hot.Received nasi lemak & fried chicken not hot.Have many flies if eating outsÃ¬de the ""cool room(econ room)"
Ariff Anuar,2 weeks ago,Sambal is the best
Ismail Siddiq,2 weeks ago,"Makanannya enak pilihan lauknya enak2, kalau ke malaysia wajib makan disini"
Thomas,2 weeks ago,"Great food and great service. Clean location, friendly staff and cheap! Sambal was not very spicy :("
Ir. HANAFI,2 weeks ago,Overall ok. Cuma harga sedikit mahal. Sekali sekala boleh lah dtg mkn
Rasli Earnest Sanmugam,2 weeks ago,Took sotong which was ok. Sambal good but on the sweet side. Rice was a total let down. It was soggy and wet with no hint of coconut milk. Overall a bit overrated. Nasi lemak RM 10 and nescafae air RM4. Parking RM5. Price wise ok.
Zainab Abu Bakar,2 weeks ago,Clean dining room. The workers are very friendly.
Ivan Arya Y,3 weeks ago,"Nice place to have Nasi Lemak, close to Kampung Baru LRT Station"
Joe Cooper,3 weeks ago,"The place looks unassuming to those not familiar with Malaysia's food scene, but this is the best nasi lemak you'll find, and the place will regularly be full up due to its virality from just being delicious."
Carla Jvr,3 weeks ago,"Excellent local food, highly recommend!"
Ayen Wanderer,3 weeks ago,"Bagi yang cuba nak faham kelebihan sambal Wanjo ni kan. Dia manis tapi tak semanis sambal kelantan, ada rasa pedasnya mcm sambal utara. Overall memang sedap dan boleh dipertingkatkan."
linda annas,3 weeks ago,A must eat port whenever staycation around Klcc or Kpg Baru. Very short walk from KLCC using Saloma bridge. Nice nasi lemak with ample side dish selection.
Mohmad Yusof Mohmad (Pakusop),3 weeks ago,Makan nasi lemak di sini ok juga cuma harga cikit mahal rasa biasa aja tak lah special
Mohammed Aneek,3 weeks ago,Very good and neat place. Food was yummy. Addons as you pay. Reasonable price.
--,3 weeks ago,"I had the nasi lemak with paru, squid and beef rendang.  All the items were delicious.  Price was reasonable"
junaidy Mohdzin,3 weeks ago,Ok...nasi sikit
Nizan Ramly,3 weeks ago,It looks clean so I'm giving it a 5. Taste good too but hoping that they will be kangkung on the offering.
amirah umar,3 weeks ago,Decent taste. The chili sauce is not spicy but it's okay. Delicious beef rendang ðŸ‘ fast service.
aisyah absah,4 weeks ago,The taste of sambal is okay. Not as amazing as people claimed. Will i go again. Nope. Bolehlah buat ghaso ghaso mknan viral
rover_rovero,6 months ago,"We ordered nasi lemak with ayam goreng and beef. The portion is quite big. It's all delicious. Price is affordable. Service is fast and staff is friendly. Best place for nasi lemak in KL for me, so far"
syuxsie,6 months ago,Loved how clean this place is and so many dishes for you to choose from. The nasi lemak sambal is the biggest winner for me. The Sambal kerang is also really good. You can pay RM1 per person to sit in an air conditioned room. Cheap and good find!
kco897,a year ago,"So far one of the best Nasi Lemak in KL, definitely better than the other one nearby . Many dishes to choose from, i had sotong (squid) which is good. price is reasonable.Place is clean. Parking is available on opposite side with a fee. The opening hours is almost the whole day. Dinner is no need to que but lunch can be."
butterscotchies,a year ago," I was with my sleeping baby and the place was so clean – just a couple of flies. Staffs are also very helpful and friendly. Tried the Nasi Lemak with Ayam Rendang and Bergedil, along with a hot tea. Before leaving, I ordered the Wanjo Juice & Shake too. Very satisfied! I would definitely come here again on my next visit to KL."
kandilistik,a year ago,Came here for lunch today after hearing about this restaurant and really enjoyed the nasi lemak with sambal sotong. The rice was very nice and fragrant and the sotong was cook dry well & not too hard as well. The sambal was not too sweet and it was just nice.Price for the food was also reasonably rice.
AzmiD,a year ago,"in my personal opinion, this is the best Nasi Lemak joint in Kuala Lumpur. They have renovated and expanded next door. The restaurant looks more airy, brighter and so so much cleaner now. The sambal is not too spicy and does not have the uncooked/raw sambal taste like most stall does"
anwarsauqie,a year ago,Not worth the hype. The food is just a okay. They was telling all customers tht the drink jammed so cannot any drink. Only can buy drinking water.
Shanaz A,a year ago,First time for me here. The sambal was excellent. Definitely will repeat again every once a month. The service was quick and they can improve on the additional servings in future.
hasif_saidatul,a year ago,"The nasi lemak is definitely great. The rice was fluffy and you can taste the 'lemak' from the coconut milk. The 'sambal' is good to my liking as I prefer sambal that taste a little bit sweet and not too spicy. My husband and I came late that night, so there were a liittle choice of side dishes for the nasi lemak. The price is quite acceptable due to the location. The challenge is to find a parking space to park your vehicle. Even though there are many places provided paid parking lots but when we arrived all of the parking lots were full."
shabanao2019,a year ago,"The mango milkshake is highly recommended, which has fresh mango chunks inside to scoop up as a dessert"
Andriod i,4 years ago,"Sorry guys, for me this is the worse nasi lemak EVER, I had this morning for my breakfast and it cost me RM 24 for 2 of us, we only took fried chicken, cockle, beef lung and normal Sambal"
hoaru,4 years ago,"Unfortunately the food tasted very commercial and we ate better at some cheaper restaurant in town,And the food is not set, so you basically select which item you want in your plate. As a tourist dealing with someone who coudnt speak much english, it was much of a pain as well to select the dish."
Kaleighpot,4 years ago,The food was ok. Most of the staff are nice even though lacking in English. But what I wasn't happy about is I was charged RM24 for 2 plates of nasi lemak and teh tarik. I didn't know then that that price is too much only learned after a few days of stay.
zulurology,4 years ago,"Another gem in Kg Baru, Spacious restaurant but again parking is difficult. Go with Grab. Hot Steamy nasi lemak with lots of side dishes. I love their crispy chicken and Sotong Sambal and also their Pegedil. There are also beef rendang , Paru Sambal. Cheap but Excellent"
sizsiriporn,4 years ago,"Love the sambal that comes with the rice. Not too spicy, easy to eat. Fried chicken was a bit dry, so good to order a cup of hot milk tea to wash it down. :) The milk tea was made just nice, not too sweet."
Cash_stallone,4 years ago,"Went there on a sunday evening..Delicious...you wont regret by visiting this restaurant..superb service.. Fried chicken , sotong and their kerang sambal not to be missed"
Barney1984,4 years ago,We were visiting Kampung Baru and wanted somewhere for a traditional breakfast and found Wanjo mentioned online. This was the first time we’d tried Nasi Lemak and we certainly weren’t disappointed.My wife ordered the satay chicken to go with her rice and I went for beef rendang. Both were delicious as were the accompaniments to the rice. The Sambal sauce was spicy but not crazy and had a sweetness to it which worked really well.
ArieDiepern,5 years ago,"I had a great time eating here. It doesn't look like much but the food is great. I loved the food, especially the rendang. Great bumbu. I also loved their red lemonade. The staff is very polite and nice. Definitely worth a visit."
Reza Riskawa,a year ago,"Mind the place but their nasi lemak tastes much better than the next door. IMO, local always better than 'International' "
nik aLfie,a year ago,So far the best Nasi lemak kukus!!! None can beat!! Nasi lmk + sambal + Kerang + paru.. Best!
Hafeez Amin,a year ago,"Best! Nasi lemak kukus, the sambal to die for"
farred mercury,a year ago,"The best Nasi Lemak in town. Please do not hype with another Nasi Lemak, you try this and compare...."
Fakhrul Jamil,a year ago,"Located beside the famous Nasi Lemak Antarabangsa, but I guarantee you guys this Nasi Lemak Wanjor much moooooore delicious than Nasi Lemak Antarabangsa"
Nurul Illi,a year ago,Better than Nasi Lemak Antarabangsa. Ask for extra anchovies.
Hanie Dew,a year ago,Nasi lemak paling best di dunia..hahaha.. paru goreng is one of the best!
Syafiq Sharani,a year ago,"The rice portion for a single takeaway nasi lemak is too much.For a meal we always had for breakfast? The paru is dry, far from being juicy. Due to this, id be wary of foursquare..this is poorly rated"
Reed Shamsudin,a year ago,"Again this is NOT the best in town, don't set your hope too high."
